ph,ec,orp,turbidite,debi,delta_basinc,sinif
6.72,1.2,379.0,42.3,2.63,0.642,fiziksel
8.11,2.45,403.0,4.4,2.01,0.463,kimyasal
7.57,1.2,144.0,28.3,3.31,0.372,biyolojik
6.0,1.62,240.0,21.0,3.08,0.398,biyolojik
6.06,1.32,184.0,26.6,3.23,0.242,biyolojik
7.45,1.49,262.0,25.8,2.34,0.4,biyolojik
6.39,1.42,181.0,23.0,2.78,0.242,biyolojik
6.52,1.39,406.0,51.7,1.87,0.644,fiziksel
7.04,1.15,387.0,5.6,3.87,0.02,normal
5.87,1.32,174.0,7.3,3.29,0.072,biyolojik
7.78,2.0,430.0,8.1,3.44,0.212,normal
6.16,1.56,289.0,8.0,2.78,0.274,biyolojik
5.93,2.96,55.0,23.9,3.81,0.293,biyolojik
7.61,1.48,485.0,21.1,2.12,0.464,kimyasal
7.77,2.51,349.0,26.0,2.1,0.512,kimyasal
7.61,1.64,330.0,10.6,2.34,0.57,kimyasal
5.7,0.59,168.0,22.8,3.17,0.509,biyolojik
6.85,1.09,216.0,0.2,4.06,0.031,normal
6.4,1.1,333.0,46.6,3.45,0.569,fiziksel
6.67,1.59,314.0,12.2,1.8,0.46,fiziksel
6.58,1.34,106.0,20.5,3.98,0.271,biyolojik
6.52,0.94,446.0,42.8,2.87,0.519,fiziksel
7.23,2.23,371.0,22.0,2.26,0.606,fiziksel
6.21,1.46,298.0,20.3,1.42,0.121,biyolojik
7.77,1.29,341.0,29.1,3.06,0.374,fiziksel
7.55,0.71,272.0,3.3,3.24,0.079,normal
7.33,0.8,166.0,24.6,3.3,0.179,biyolojik
6.23,1.78,179.0,19.4,3.61,0.382,biyolojik
6.81,0.83,178.0,33.1,4.01,0.32,biyolojik
7.35,1.21,400.0,2.6,4.22,0.02,normal
8.65,2.1,448.0,17.9,2.27,0.407,kimyasal
6.59,1.35,315.0,11.4,3.76,0.134,biyolojik
7.62,3.67,500.0,8.0,3.27,0.373,kimyasal
6.39,0.69,262.0,2.2,3.31,0.146,biyolojik
7.4,1.93,218.0,10.8,2.99,0.388,biyolojik
8.26,1.66,379.0,20.9,3.24,0.574,kimyasal
6.11,1.22,338.0,31.5,0.61,0.404,fiziksel
6.48,1.05,280.0,20.4,2.09,0.496,biyolojik
7.34,0.95,152.0,15.3,2.25,0.159,biyolojik
8.25,2.51,235.0,10.6,2.39,0.72,kimyasal
6.89,1.22,342.0,7.3,4.71,0.059,normal
7.73,1.53,288.0,60.0,3.52,1.0,fiziksel
9.02,3.78,166.0,0.3,2.23,0.337,kimyasal
8.67,1.8,296.0,12.8,2.91,0.281,kimyasal
6.44,1.5,303.0,23.5,0.5,0.585,fiziksel
7.52,0.61,245.0,28.6,2.49,0.416,biyolojik
8.06,2.79,231.0,19.2,3.09,0.5,kimyasal
6.09,2.41,59.0,26.5,3.29,0.512,biyolojik
6.92,1.73,386.0,0.9,4.04,0.129,normal
6.14,1.01,381.0,25.2,2.51,0.893,fiziksel
7.13,1.64,286.0,42.1,1.15,0.808,fiziksel
7.65,2.29,298.0,21.2,2.93,0.392,kimyasal
7.56,0.57,369.0,17.3,1.61,0.543,fiziksel
8.77,3.21,232.0,11.3,2.62,0.367,kimyasal
6.9,0.99,70.0,27.4,2.75,0.149,biyolojik
6.84,1.52,351.0,37.3,3.61,0.952,fiziksel
6.82,1.24,219.0,20.4,2.63,0.421,biyolojik
6.29,1.75,386.0,40.9,0.23,0.368,fiziksel
6.75,1.63,244.0,18.6,3.0,0.389,biyolojik
7.75,1.59,389.0,7.0,3.18,0.254,kimyasal
6.45,1.89,368.0,15.4,0.83,0.577,fiziksel
6.75,1.59,266.0,19.5,2.68,0.158,biyolojik
6.2,1.07,256.0,24.0,0.52,0.589,fiziksel
7.03,1.11,177.0,20.1,2.41,0.272,biyolojik
7.03,1.02,284.0,28.7,2.26,0.389,fiziksel
6.66,0.77,384.0,30.6,1.31,0.602,fiziksel
6.06,1.16,130.0,32.7,3.49,0.444,biyolojik
7.07,1.7,317.0,21.4,0.59,0.188,fiziksel
6.88,1.47,420.0,4.1,3.89,0.141,normal
7.9,0.86,375.0,58.5,2.95,0.8,fiziksel
7.29,1.26,305.0,28.7,3.35,0.293,fiziksel
7.61,1.31,362.0,3.4,2.55,0.491,kimyasal
6.56,0.74,404.0,43.0,1.01,0.25,fiziksel
5.57,1.03,192.0,28.1,3.68,0.441,biyolojik
6.92,0.81,85.0,17.8,3.34,0.42,biyolojik
